Architecture,Scenario,Scale,RunNumber,Timestamp,EndToEndMs,ServerCpuMs,ServerElapsedMs,CpuPercent,MemoryMb,MemSqlServerMb,LogicalReads,PhysicalReads,RowsReturned,InsertedId,ConcurrentWorkers,ThroughputRequestsPerSec,ErrorCount,RowsCopied,IngestionRowsPerSecond,IsWarmup,ErrorMessage
ETL,T1_GetSNList,Medium,0,03/11/2026 23:35:31,15.4678,13.637,20.178,12.088048934936523,6.135101318359375,1219.015625,57,0,10000,,,,,,,True,
ETL,T1_GetSNList,Medium,1,03/11/2026 23:35:31,34.3656,16.842,32.981,12.084847450256348,6.9936981201171875,1219.015625,57,0,10000,,,,,,,False,
ETL,T1_GetSNList,Medium,2,03/11/2026 23:35:31,34.7505,17.772,34.384,14.143500328063965,7.9214935302734375,1228.28125,57,0,10000,,,,,,,False,
ETL,T1_GetSNList,Medium,3,03/11/2026 23:35:31,27.2883,16.557,26.868,4.519486904144287,8.788177490234375,1228.28125,57,0,10000,,,,,,,False,
ETL,T1_GetSNList,Medium,4,03/11/2026 23:35:31,27.5649,15.361,27.56,6.228775501251221,9.647552490234375,1228.28125,57,0,10000,,,,,,,False,
ETL,T1_GetSNList,Medium,5,03/11/2026 23:35:31,24.338,13.388,24.262,19.076631546020508,10.529869079589844,1228.28125,57,0,10000,,,,,,,False,
ETL,T1_GetSNList,Medium,6,03/11/2026 23:35:31,29.5538,14.955,31.326,0,11.396957397460938,1228.28125,57,0,10000,,,,,,,False,
ETL,T1_GetSNList,Medium,7,03/11/2026 23:35:31,32.5509,16.631,32.954,10.308109283447266,12.256256103515625,1228.28125,57,0,10000,,,,,,,False,
ETL,T1_GetSNList,Medium,8,03/11/2026 23:35:32,34.3823,16.893,34.262,0,13.130340576171875,1228.28125,57,0,10000,,,,,,,False,
ETL,T1_GetSNList,Medium,9,03/11/2026 23:35:32,16.8646,12.812,18.725,17.535873413085938,13.997703552246094,1228.28125,57,0,10000,,,,,,,False,
ETL,T1_GetSNList,Medium,10,03/11/2026 23:35:32,18.1176,12.919,18.236,26.310888290405273,14.8560791015625,1228.28125,57,0,10000,,,,,,,False,
ETL,T2_GetMesuresByPN,Medium,0,03/11/2026 23:35:32,886.352,7.115,7.116,9.431152725219727,14.925926208496094,1228.2890625,7,0,0,,,,,,,True,
ETL,T2_GetMesuresByPN,Medium,1,03/11/2026 23:35:33,47.4737,11.987,11.994,29.859329223632812,15.030471801757812,1228.2890625,1775,0,20,,,,,,,False,
ETL,T2_GetMesuresByPN,Medium,2,03/11/2026 23:35:33,25.5595,8.467,8.47,0,15.069427490234375,1228.2890625,822,0,9,,,,,,,False,
ETL,T2_GetMesuresByPN,Medium,3,03/11/2026 23:35:33,23.0644,8.221,8.224,7.722325325012207,15.108139038085938,1228.2890625,816,0,9,,,,,,,False,
ETL,T2_GetMesuresByPN,Medium,4,03/11/2026 23:35:33,35.8091,12.046,12.049,5.803224086761475,15.146202087402344,1228.2890625,1777,0,20,,,,,,,False,
ETL,T2_GetMesuresByPN,Medium,5,03/11/2026 23:35:33,44.1096,8.086,8.089,26.489381790161133,15.177474975585938,1228.28125,7,0,0,,,,,,,False,
ETL,T2_GetMesuresByPN,Medium,6,03/11/2026 23:35:33,30.5841,12.172,12.175,9.00765323638916,15.224075317382812,1228.28125,1687,0,19,,,,,,,False,
ETL,T2_GetMesuresByPN,Medium,7,03/11/2026 23:35:33,24.8414,10.055,10.057,0,15.262893676757812,1228.28125,2473,0,29,,,,,,,False,
ETL,T2_GetMesuresByPN,Medium,8,03/11/2026 23:35:33,49.6157,12.029,12.034,9.51555061340332,15.302085876464844,1228.28125,1775,0,20,,,,,,,False,
ETL,T2_GetMesuresByPN,Medium,9,03/11/2026 23:35:33,33.7081,9.66,9.662,0,15.340896606445312,1228.28125,7,0,0,,,,,,,False,
ETL,T2_GetMesuresByPN,Medium,10,03/11/2026 23:35:34,23.8383,8.868,8.874,8.85751724243164,15.379837036132812,1228.28125,1170,0,13,,,,,,,False,
ETL,T3_GetMesuresHistorique,Medium,0,03/11/2026 23:35:34,310.5466,130.742,146.352,2.9482650756835938,15.417716979980469,1228.28125,285,87,0,,,,,,,True,
ETL,T3_GetMesuresHistorique,Medium,1,03/11/2026 23:35:34,104.7187,15.65,16.546,15.561516761779785,15.464324951171875,1228.8203125,403,1,20,,,,,,,False,
ETL,T3_GetMesuresHistorique,Medium,2,03/11/2026 23:35:34,97.5127,8.738,8.742,16.036785125732422,15.502960205078125,1228.8203125,7,0,0,,,,,,,False,
ETL,T3_GetMesuresHistorique,Medium,3,03/11/2026 23:35:34,56.1749,11.072,17.934,1.5086694955825806,15.54193115234375,1228.8203125,97,7,0,,,,,,,False,
ETL,T3_GetMesuresHistorique,Medium,4,03/11/2026 23:35:34,95.5578,8.451,8.455,9.394584655761719,15.584587097167969,1228.8203125,7,0,0,,,,,,,False,
ETL,T3_GetMesuresHistorique,Medium,5,03/11/2026 23:35:34,56.7696,13.929,15.447,4.330974102020264,15.631210327148438,1228.8203125,486,42,29,,,,,,,False,
ETL,T3_GetMesuresHistorique,Medium,6,03/11/2026 23:35:35,104.1337,16.528,22.958,4.865433692932129,15.678146362304688,1228.8203125,64,43,0,,,,,,,False,
ETL,T3_GetMesuresHistorique,Medium,7,03/11/2026 23:35:35,105.0411,11.953,13.177,7.29721212387085,15.716293334960938,1228.8203125,323,1,9,,,,,,,False,
ETL,T3_GetMesuresHistorique,Medium,8,03/11/2026 23:35:35,96.6123,8.836,8.839,12.685297966003418,15.754951477050781,1228.8203125,7,0,0,,,,,,,False,
ETL,T3_GetMesuresHistorique,Medium,9,03/11/2026 23:35:35,53.9563,8.036,8.039,10.79954719543457,15.794052124023438,1228.8203125,7,0,0,,,,,,,False,
ETL,T3_GetMesuresHistorique,Medium,10,03/11/2026 23:35:35,108.5815,17.328,26.973,34.98078536987305,15.832550048828125,1228.8203125,158,45,0,,,,,,,False,
ETL,T4_InsertMesure,Medium,0,03/11/2026 23:35:35,15.9939,8.148,10.028,0,15.894966125488281,1228.8203125,25,1,250001,,,,,,,True,
ETL,T4_InsertMesure,Medium,1,03/11/2026 23:35:35,13.6778,14.727,20.746,0,15.933570861816406,1228.8203125,147,49,250002,,,,,,,False,
ETL,T4_InsertMesure,Medium,2,03/11/2026 23:35:35,23.3236,8.916,11.797,26.626476287841797,15.964622497558594,1228.8203125,17,1,250003,,,,,,,False,
ETL,T4_InsertMesure,Medium,3,03/11/2026 23:35:36,12.735,13.423,22.103,11.280681610107422,16.0035400390625,1228.8203125,145,48,250004,,,,,,,False,
ETL,T4_InsertMesure,Medium,4,03/11/2026 23:35:36,9.6436,7.412,8.274,6.778942584991455,16.042259216308594,1228.8203125,17,1,250005,,,,,,,False,
ETL,T4_InsertMesure,Medium,5,03/11/2026 23:35:36,6.6477,7.119,7.519,20.987192153930664,16.08123016357422,1228.8203125,17,1,250006,,,,,,,False,
ETL,T4_InsertMesure,Medium,6,03/11/2026 23:35:36,11.4712,15.299,20.221,8.454249382019043,16.120262145996094,1228.8203125,168,47,250007,,,,,,,False,
ETL,T4_InsertMesure,Medium,7,03/11/2026 23:35:36,9.8486,7.668,8.74,0.13556905090808868,16.158920288085938,1228.8203125,18,1,250008,,,,,,,False,
ETL,T4_InsertMesure,Medium,8,03/11/2026 23:35:36,12.6935,13.496,20.694,15.970962524414062,16.18999481201172,1228.8203125,150,48,250009,,,,,,,False,
ETL,T4_InsertMesure,Medium,9,03/11/2026 23:35:36,15.7244,8.842,12.63,25.404022216796875,16.23686981201172,1228.8203125,17,1,250010,,,,,,,False,
ETL,T4_InsertMesure,Medium,10,03/11/2026 23:35:36,8.3708,6.18,7.101,7.643962383270264,16.275840759277344,1228.828125,17,1,250011,,,,,,,False,
ETL,T5_BurstSelect,Medium,0,03/11/2026 23:35:36,71.1159,29.948,29.958,8.180621147155762,16.674720764160156,1228.828125,7921,0,0,,10,140.6155304228731,0,,,True,
ETL,T5_BurstSelect,Medium,1,03/11/2026 23:35:36,73.5977,77.565,77.9,9.461806297302246,16.953628540039062,1228.828125,2667,8,0,,10,135.87381127399362,0,,,False,
ETL,T5_BurstSelect,Medium,2,03/11/2026 23:35:36,45.3326,113.972,115.877,11.856121063232422,17.07050323486328,1228.828125,14570,8,0,,10,220.59180369094204,0,,,False,
ETL,T5_BurstSelect,Medium,3,03/11/2026 23:35:36,46.1207,30.934,30.946,19.764598846435547,17.179405212402344,1228.828125,7055,0,0,,10,216.82238127348458,0,,,False,
ETL,T5_BurstSelect,Medium,4,03/11/2026 23:35:37,46.4475,26.431,26.443,0,17.2808837890625,1228.828125,5109,0,0,,10,215.29684051886537,0,,,False,
ETL,T5_BurstSelect,Medium,5,03/11/2026 23:35:37,52.1087,36.789,38.589,26.367881774902344,17.389907836914062,1228.828125,7452,6,0,,10,191.90653384175772,0,,,False,
ETL,T5_BurstSelect,Medium,6,03/11/2026 23:35:37,48.0152,33.582,33.595,29.463027954101562,17.49908447265625,1228.828125,7606,0,0,,10,208.26738199570136,0,,,False,
ETL,T5_BurstSelect,Medium,7,03/11/2026 23:35:37,41.2565,16.966,16.978,7.125214576721191,17.592750549316406,1228.828125,878,0,0,,10,242.3860482590622,0,,,False,
ETL,T5_BurstSelect,Medium,8,03/11/2026 23:35:37,42.9415,30.141,30.155,14.625932693481445,17.701812744140625,1228.828125,6540,0,0,,10,232.8749577914139,0,,,False,
ETL,T5_BurstSelect,Medium,9,03/11/2026 23:35:37,46.7985,29.227,29.237,19.420665740966797,17.818588256835938,1228.8203125,5881,0,0,,10,213.68206245926686,0,,,False,
ETL,T5_BurstSelect,Medium,10,03/11/2026 23:35:37,42.5018,21.336,21.349,5.944650173187256,17.920005798339844,1228.8203125,2559,0,0,,10,235.28415267118098,0,,,False,
