Architecture,Scenario,Scale,SampleCount,MedianEndToEndMs,P25EndToEndMs,P75EndToEndMs,IQR,MedianServerCpuMs,MedianServerElapsedMs,MedianCpuPercent,MedianMemoryMb,MedianMemSqlServerMb,MedianLogicalReads,MedianPhysicalReads,ConcurrentWorkers,MedianThroughputRps,MedianErrorCount,MedianIngestionRowsPerSecond
ETL,T1_GetSNList,Large,10,86.31184999999999,78.83817499999999,96.46525,17.627075000000005,66.31899999999999,86.7955,10.720800399780273,13.299571990966797,2047.078125,546,1,,,,
ETL,T2_GetMesuresByPN,Large,10,72.07375,68.57137499999999,81.30305000000001,12.731675000000024,7.968500000000001,9.273,11.688722610473633,9.418872833251953,2047.484375,7,1.5,,,,
ETL,T3_GetMesuresHistorique,Large,10,106.23485,101.369125,114.488025,13.118899999999996,8.892,9.4685,5.834467887878418,9.904895782470703,2009.4140625,7,1,,,,
ETL,T4_InsertMesure,Large,10,10.6188,9.946325,11.345475,1.3991500000000006,7.5184999999999995,8.928,8.615445137023926,10.35726547241211,2009.421875,17,1.5,,,,
ETL,T5_BurstSelect,Large,70,207.63705,127.20055,288.18785,160.9873,115.285,176.055,26.39493179321289,15.070636749267578,2009.875,31206.5,19,10,231.02099546564594,0,
ETL,T6_ETLBatchIngestion,Large,10,113110.86115000001,112503.817075,113310.96505,807.1479749999999,3286.178,112919.3285,10.94055502048473,9.553092956542969,2067.421875,17347,0,,,,26522.706959911848
ETL,T7_BurstInsert,Large,70,25.14465,16.20805,43.377399999999994,27.169349999999994,24.2785,76.852,12.106857299804688,11.023006439208984,2138.8359375,510,2,10,1464.3286606071497,0,
FederatedLinkedServer,T1_GetSNList,Large,10,96.0995,91.4662,105.812725,14.346525,90.279,97.535,11.440370559692383,15.150928497314453,2138.83984375,546,545,,,,
FederatedLinkedServer,T2_GetMesuresByPN,Large,10,813.8902,805.6146249999999,825.0509500000001,19.436325000000124,60.6905,78.0215,7.987875926494598,20.354873657226562,2138.84375,2824,61,,,,
FederatedLinkedServer,T3_GetMesuresHistorique,Large,10,865.3554,860.139775,874.4305,14.290725000000066,63.621,84.79849999999999,9.792079401016235,21.248271942138672,2098.3046875,2824,61,,,,
FederatedLinkedServer,T4_InsertMesure,Large,10,21.547800000000002,19.830849999999998,22.9878,3.156950000000002,9.0195,19.2935,2.6048794388771057,21.873889923095703,2098.3046875,21,13,,,,
FederatedLinkedServer,T5_BurstSelect,Large,70,1309.1208499999998,963.621875,1820.85035,857.2284749999999,2553.283,5570.307500000001,20.316950070006506,16.256969451904297,2102.1640625,167707,186.5,10,36.76706866438744,0,
FederatedLinkedServer,T7_BurstInsert,Large,70,34.42,25.395775,49.855149999999995,24.459374999999994,26.5175,172.7955,10.674675464630127,18.47317886352539,2102.796875,699,6,10,1262.5805886468402,0,
FederatedInMemory,T1_GetSNList,Large,10,105.45455000000001,90.732725,112.96205,22.229325000000003,81.69200000000001,105.593,9.134760618209839,25.47803497314453,2102.265625,546,545,,,,
FederatedInMemory,T2_GetMesuresByPN,Large,10,192.03334999999998,183.143575,203.91445,20.77087499999999,117.50999999999999,154.11950000000002,10.872475624084473,38.266212463378906,2102.265625,1812,1547,,,,
FederatedInMemory,T3_GetMesuresHistorique,Large,10,568.0911000000001,551.3858,627.0291,75.64329999999995,616.9295,715.502,9.882446527481079,58.24427795410156,2102.265625,3862,3596,,,,
FederatedInMemory,T4_InsertMesure,Large,10,14.561350000000001,13.495425000000001,14.60775,1.1123249999999985,8.126999999999999,11.15,11.129616260528564,58.28827667236328,2102.265625,13,4,,,,
FederatedInMemory,T5_BurstSelect,Large,70,2331.657,737.513475,4994.9234,4257.409925,4866.273,55223.379499999995,15.597769697507223,1076.8901023864746,2102.265625,87347,1736,10,17.943629600680758,0,
FederatedInMemory,T7_BurstInsert,Large,70,35.225899999999996,19.6007,47.720949999999995,28.120249999999995,25.39,148.1,11.392628192901611,1227.2329216003418,2105.3046875,667,5,10,1234.6153553194545,0,
